season_id,player_id,game_id,game_date,home_game,win_game,team_abr,opp_abr,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,season
21984,76283,0028400933,1985-04-13,TRUE,TRUE,ATL,IND,4,0,1,0,0,0,NA,1,2,0.5,1,1,2,0,0,0,0,0,1,NA,1984
21984,76283,0028400930,1985-04-12,FALSE,TRUE,ATL,CHI,9,2,2,1,0,0,NA,0,0,NA,1,1,2,0,0,0,1,0,4,NA,1984
21984,76283,0028400913,1985-04-10,TRUE,TRUE,ATL,NYK,10,1,5,0.2,0,0,NA,0,0,NA,1,5,6,1,0,1,2,3,2,NA,1984
21984,76283,0028400905,1985-04-09,FALSE,FALSE,ATL,WAS,20,3,4,0.75,0,0,NA,0,2,0,3,3,6,1,0,0,0,1,6,NA,1984
21984,76283,0028400879,1985-04-04,FALSE,TRUE,ATL,NYK,14,1,6,0.167,0,0,NA,2,2,1,1,6,7,0,1,0,0,2,4,NA,1984
21984,76283,0028400867,1985-04-02,TRUE,FALSE,ATL,PHL,16,2,2,1,0,0,NA,0,0,NA,1,3,4,0,0,0,0,3,4,NA,1984
21984,76283,0028400848,1985-04-01,FALSE,TRUE,ATL,DET,12,0,2,0,0,0,NA,0,0,NA,0,2,2,0,0,2,1,1,0,NA,1984
21984,76283,0028400852,1985-03-30,FALSE,FALSE,ATL,MIL,19,4,7,0.571,0,0,NA,3,4,0.75,4,2,6,0,1,0,2,1,11,NA,1984
21984,76283,0028400837,1985-03-27,FALSE,TRUE,ATL,IND,18,1,2,0.5,0,0,NA,2,2,1,1,1,2,2,1,0,0,4,4,NA,1984
21984,76283,0028400826,1985-03-26,TRUE,FALSE,ATL,NJN,21,4,6,0.667,0,0,NA,0,1,0,2,5,7,0,0,1,1,0,8,NA,1984
